color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
Color,Bryan Singer,144,154985087,Action|Adventure|Sci-Fi,X-Men: Apocalypse,2016,English,USA,178000000,7.3,"Jennifer Lawrence,Michael Fassbender,Tye Sheridan",54000
Color,Adam McKay,143,2175312,Comedy,Anchorman 2: The Legend Continues,2013,English,USA,50000000,6.3,"Harrison Ford,Will Ferrell,Steve Carell",41000
Color,Zack Snyder,143,291021565,Action|Adventure|Fantasy|Sci-Fi,Man of Steel,2013,English,USA,225000000,7.2,"Henry Cavill,Christopher Meloni,Harry Lennix",118000
Color,Sam Mendes,143,304360277,Action|Adventure|Thriller,Skyfall,2012,English,UK,200000000,7.8,"Albert Finney,Helen McCrory,Rory Kinnear",80000
Color,Sam Mendes,143,304360277,Action|Adventure|Thriller,Skyfall,2012,English,UK,200000000,7.8,"Albert Finney,Helen McCrory,Rory Kinnear",80000
Color,Baz Luhrmann,143,144812796,Drama|Romance,The Great Gatsby,2013,English,Australia,105000000,7.3,"Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley",115000
Color,Baz Luhrmann,143,144812796,Drama|Romance,The Great Gatsby,2013,English,Australia,105000000,7.3,"Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley",115000
,,143,,Drama|Horror|Thriller,The Ridges,2011,English,USA,17350,3,"Robbie Barnes,Alana Kaniewski,Brandon Landers",33
Color,Steven Spielberg,142,72306065,Drama|History|Thriller,Bridge of Spies,2015,English,USA,40000000,7.6,"Tom Hanks,Mark Rylance,Amy Ryan",55000
Color,Marc Webb,142,202853933,Action|Adventure|Fantasy|Sci-Fi,The Amazing Spider-Man 2,2014,English,USA,200000000,6.7,"Emma Stone,Andrew Garfield,B.J. Novak",41000
Color,,142,407999255,Adventure|Drama|Sci-Fi|Thriller,The Hunger Games,2012,English,USA,78000000,7.3,"Jennifer Lawrence,Josh Hutcherson,Anthony Reynolds",140000
Color,Joss Whedon,141,458991599,Action|Adventure|Sci-Fi,Avengers: Age of Ultron,2015,English,USA,250000000,7.5,"Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson",118000
Color,Timur Bekmambetov,141,,Adventure|Drama|History,Ben-Hur,2016,English,USA,100000000,6.1,"Morgan Freeman,Ayelet Zurer,Moises Arias",0
Color,Timur Bekmambetov,141,,Adventure|Drama|History,Ben-Hur,2016,English,USA,100000000,6,"Morgan Freeman,Ayelet Zurer,Moises Arias",0
Color,Timur Bekmambetov,141,,Adventure|Drama|History,Ben-Hur,2016,English,USA,100000000,6.1,"Morgan Freeman,Ayelet Zurer,Moises Arias",0
Color,Justin Chadwick,141,8324748,Biography|Drama|History,Mandela: Long Walk to Freedom,2013,English,UK,35000000,7.1,"Terry Pheto,Fana Mokoena,Tony Kgoroge",13000
,Oliver Stone,141,47307550,Crime|Drama|Thriller,Savages,2012,English,USA,45000000,6.5,"Demián Bichir,Shea Whigham,Gary Stretch",28000
Color,David Dobkin,141,47105085,Crime|Drama,The Judge,2014,English,USA,50000000,7.4,"Robert Downey Jr.,Robert Duvall,Leighton Meester",47000
Color,Ryan Murphy,140,80574010,Drama|Romance,Eat Pray Love,2010,English,USA,60000000,5.7,"James Franco,Julia Roberts,Billy Crudup",26000
Color,James Wan,140,350034110,Action|Crime|Thriller,Furious 7,2015,English,USA,190000000,7.2,"Jason Statham,Paul Walker,Vin Diesel",94000
Color,Derek Cianfrance,140,21383298,Crime|Drama|Thriller,The Place Beyond the Pines,2012,English,USA,15000000,7.3,"Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza",47000
Color,Gavin O'Connor,140,13651662,Drama|Sport,Warrior,2011,English,USA,25000000,8.2,"Tom Hardy,Frank Grillo,Kevin Dunn",77000
Color,,139,150832203,Adventure|Mystery|Sci-Fi,Divergent,2014,English,USA,85000000,6.7,"Kate Winslet,Theo James,Mekhi Phifer",49000
Color,Gary Ross,139,20389967,Action|Biography|Drama|History|War,Free State of Jones,2016,English,USA,50000000,6.7,"Matthew McConaughey,Donald Watkins,Jessica Collins",10000
